contrast,direction,pathway,n_query_genes,n_pathway_genes_in_background,n_overlap,overlap_genes,overlap_fraction,pvalue,padj
MNP AA Ag vs Pre,down in allergen,Macrophage lipid/complement program,49,9,7,APOC1;APOE;C1QA;C1QB;C1QC;MARCO;SCD,0.14285714285714285,0.00019490270332800263,0.002533735143264034
AEC ANA Ag vs Pre,up in allergen,Type 2 epithelial response,22,8,4,POSTN;SERPINB2;SERPINB4;SLC26A4,0.18181818181818182,0.002493412845885851,0.01620718349825803
AEC AA Ag vs Pre,up in allergen,Type 2 epithelial response,12,8,3,POSTN;SERPINB4;SLC26A4,0.25,0.004119707602485726,0.01785206627743814
MNP AA Ag vs Pre,up in allergen,Type 2 epithelial response,1,8,1,ALOX15,1.0,0.03187250996015936,0.10358565737051792
AEC AA Ag vs Pre,up in allergen,Epithelial injury/repair,12,9,2,RARRES1;TNC,0.16666666666666666,0.06264623516886343,0.1628802114390449
AEC AA Ag vs Pre,up in allergen,Matrix remodeling,12,10,2,POSTN;TNC,0.16666666666666666,0.07622014326778577,0.16514364374686916
AEC ANA Ag vs Pre,up in allergen,Epithelial injury/repair,22,9,2,CD55;RARRES1,0.09090909090909091,0.18125620835588757,0.3366186726609341
AEC AA Ag vs Pre,up in allergen,Mucus/metaplasia,12,8,1,MUC2,0.08333333333333333,0.32809154910334454,0.5020874231119844
AEC AA Ag vs Pre,down in allergen,Ciliated epithelial program,38,8,2,PIFO;SNTN,0.05263157894736842,0.3475989852313738,0.5020874231119844
AEC ANA Ag vs Pre,up in allergen,Macrophage lipid/complement program,22,9,1,SCD,0.045454545454545456,0.5681566158631294,0.6687648692365098
AEC ANA Ag vs Pre,up in allergen,Matrix remodeling,22,10,1,POSTN,0.045454545454545456,0.6074151053301176,0.6687648692365098
AEC ANA Ag vs Pre,down in allergen,Ciliated epithelial program,28,8,1,DNAH5,0.03571428571428571,0.6173214177567783,0.6687648692365098
MNP AA Ag vs Pre,down in allergen,Oxidative stress response,49,8,1,FTH1,0.02040816326530612,0.8288409493583646,0.8288409493583646
